,0,1
Cluster_Size,926.0,1310.0
Income,0.7719309422652468,-0.5456550019371134
Kidhome,-0.6860622372612594,0.48495697076635574
Teenhome,-0.10273268087783578,0.07261867365868419
Recency,0.007302425733922371,-0.005161867350848744
MntWines,0.8984541454500661,-0.635090487547146
MntFruits,0.6979486618454093,-0.4933591304342358
MntMeatProducts,0.8228090534587478,-0.5816192240479392
MntFishProducts,0.717516591056597,-0.5071911170369532
MntSweetProducts,0.700244374534893,-0.49498190138878684
MntGoldProds,0.6007303712331654,-0.42463841508542827
NumDealsPurchases,-0.11405255553769862,0.08062035605183879
NumWebPurchases,0.6226580470459545,-0.44013843630881977
NumCatalogPurchases,0.884082373738982,-0.6249315099864866
NumStorePurchases,0.8485385345547856,-0.5998066282425429
NumWebVisitsMonth,-0.6272363720176446,0.44337471793002947
AcceptedCmp3,0.039448216505671124,-0.027884769835306404
AcceptedCmp4,0.2458176924285877,-0.1737612085411239
AcceptedCmp5,0.39537885576593357,-0.2794815423200416
AcceptedCmp1,0.3388839695910545,-0.23954698919184464
AcceptedCmp2,0.14620228749686515,-0.10334604444434896
Complain,-0.018997210160540987,0.013428562296687785
Response,0.2262879856621198,-0.15995624024665864
Total_Spend,1.0213952065084348,-0.7219938635319164
Total_Purchases,0.9811623937241513,-0.6935544859454688
Age,0.173606792128284,-0.12271747290900126
Days_with_Company,0.12719858595599362,-0.08991289358416377
Education_encoded,2.473002159827214,2.335114503816794
Marital_Status_encoded,1.755939524838013,1.7190839694656488
Age_Category_encoded,3.411447084233261,3.1763358778625954
