,0,1
Spent on Wine,-5.541932436624136e+18,3.424609479650516e+18
Spent on Fruits,4.5157223224930463e+18,-2.7904680632482355e+18
Spent on Meat,1.304608446398518e+18,-8.061762758497354e+17
Spent on Fish,3.4355019891248935e+19,-2.122951301528697e+19
Spent on Sweets,2.2776136725246743e+18,-1.4074399973488218e+18
Spent on Gold Products,9.693111023265464e+17,-5.98980956141006e+17
Total_Spend,1.6431183285013957e+18,-1.0153567673952182e+18
Total_Purchases,-3.169130242840878e+18,1.9583482108437844e+18
Cluster,0.0,162.0
