,0,1
Web Purchases,-1.4971472030012137e+18,1.3446364522710395e+18
Catalog Purchases,-1.9527621113208932e+18,1.7538389760420244e+18
In-Store Purchases,8.185538957880728e+17,-7.35169797745145e+17
Monthly Web Visits,6.419322930839468e+17,-5.765402088988244e+17
Cluster,0.0,190.0
